timestamp,symbol,side,quantity,K_value
2023-06-27 18:26:50.785182,XMRUSDT,BUY,0.06,90
2023-06-27 18:26:50.906598,TRXUSDT,BUY,133.0,90
2023-06-27 18:26:51.036059,XLMUSDT,BUY,105.0,90
2023-06-27 18:26:51.265971,BNBUSDT,BUY,0.04,90
2023-06-27 18:26:51.391348,ETHUSDT,BUY,0.005,90
2023-06-27 18:26:51.510204,DOTUSDT,BUY,1.9,90
2023-06-27 18:26:51.628017,XRPUSDT,BUY,20.7,90
2023-06-27 18:26:51.753787,XTZUSDT,BUY,12.4,90
2023-06-27 18:26:51.925804,ATOMUSDT,BUY,1.06,90
2023-06-27 18:26:52.048667,EGLDUSDT,BUY,0.2,90
2023-06-27 18:26:52.189286,RNDRUSDT,SELL,4.7,90
2023-06-27 18:26:52.305414,BCHUSDT,SELL,0.044,90
2023-06-27 18:26:52.415478,STXUSDT,SELL,13.0,90
2023-06-27 18:26:52.537422,ARBUSDT,SELL,8.2,90
2023-06-27 18:26:52.656044,LDOUSDT,SELL,5.0,90
2023-06-27 18:26:52.769408,OPUSDT,SELL,7.4,90
2023-06-27 18:26:52.892923,IMXUSDT,SELL,13.0,90
2023-06-27 18:26:53.012032,APTUSDT,SELL,1.3,90
2023-06-27 18:26:53.130991,FTMUSDT,SELL,32.0,90
2023-06-27 18:26:53.307612,ICPUSDT,SELL,2.0,90
